project,status,risk,lesson
AI Diagnosis,green,technical issue,improve testing
Telemedicine,orange,vendor delay,better coordination
Health Data,red,budget shortage,better planning
Smart ICU,green,staff shortage,teamwork important
Hospital AI,orange,system bug,improve communication
Clinical AI,green,technical issue,improve testing
Medical Data,green,staff shortage,teamwork important
Patient Monitoring,orange,budget shortage,better planning
Hospital Analytics,green,technical issue,improve testing
Medical Robot,red,vendor delay,better coordination
Health Platform,green,technical issue,improve testing
Digital ICU,orange,staff shortage,teamwork important
Medical Data Hub,green,technical issue,improve testing
Smart Clinic,green,budget shortage,better planning
AI Surgery,orange,system bug,improve communication
Health Prediction,green,technical issue,improve testing
Hospital Robot,green,staff shortage,teamwork important
Patient Tracker,orange,budget shortage,better planning
Clinical Platform,green,technical issue,improve testing
AI Monitoring,red,vendor delay,better coordination
